Country,Population,GDP_per_Capita,Year,Medal
Argentina,43416755,13431.8783398577,1996,Silver
Argentina,43416755,13431.8783398577,1996,Silver
Argentina,43416755,13431.8783398577,1996,Silver
Argentina,43416755,13431.8783398577,1996,Silver
Argentina,43416755,13431.8783398577,1996,Silver
Argentina,43416755,13431.8783398577,1996,Silver
Argentina,43416755,13431.8783398577,1996,Silver
Argentina,43416755,13431.8783398577,1996,Silver
Argentina,43416755,13431.8783398577,2000,Silver
Argentina,43416755,13431.8783398577,2000,Silver
Argentina,43416755,13431.8783398577,2000,Silver
Argentina,43416755,13431.8783398577,2000,Silver
Argentina,43416755,13431.8783398577,2000,Silver
Argentina,43416755,13431.8783398577,2000,Silver
Argentina,43416755,13431.8783398577,2000,Silver
Argentina,43416755,13431.8783398577,2000,Silver
Argentina,43416755,13431.8783398577,2000,Silver
Argentina,43416755,13431.8783398577,2000,Silver
Argentina,43416755,13431.8783398577,2000,Silver
Argentina,43416755,13431.8783398577,2000,Silver
Argentina,43416755,13431.8783398577,2000,Silver
Argentina,43416755,13431.8783398577,2000,Silver
Argentina,43416755,13431.8783398577,2000,Silver
Argentina,43416755,13431.8783398577,2000,Silver
Argentina,43416755,13431.8783398577,2000,Bronze
Argentina,43416755,13431.8783398577,2000,Bronze
Argentina,43416755,13431.8783398577,2000,Silver
Argentina,43416755,13431.8783398577,2000,Bronze
Argentina,43416755,13431.8783398577,2004,Bronze
Argentina,43416755,13431.8783398577,2004,Gold
Argentina,43416755,13431.8783398577,2004,Gold
Argentina,43416755,13431.8783398577,2004,Gold
Argentina,43416755,13431.8783398577,2004,Gold
Argentina,43416755,13431.8783398577,2004,Gold
Argentina,43416755,13431.8783398577,2004,Gold
Argentina,43416755,13431.8783398577,2004,Gold
Argentina,43416755,13431.8783398577,2004,Gold
Argentina,43416755,13431.8783398577,2004,Gold
Argentina,43416755,13431.8783398577,2004,Gold
Argentina,43416755,13431.8783398577,2004,Gold
Argentina,43416755,13431.8783398577,2004,Gold
Argentina,43416755,13431.8783398577,2004,Gold
Argentina,43416755,13431.8783398577,2004,Gold
Argentina,43416755,13431.8783398577,2004,Gold
Argentina,43416755,13431.8783398577,2004,Gold
Argentina,43416755,13431.8783398577,2004,Gold
Argentina,43416755,13431.8783398577,2004,Gold
Argentina,43416755,13431.8783398577,2004,Gold
Argentina,43416755,13431.8783398577,2004,Gold
Argentina,43416755,13431.8783398577,2004,Gold
Argentina,43416755,13431.8783398577,2004,Gold
Argentina,43416755,13431.8783398577,2004,Gold
Argentina,43416755,13431.8783398577,2004,Gold
Argentina,43416755,13431.8783398577,2004,Gold
Argentina,43416755,13431.8783398577,2004,Gold
Argentina,43416755,13431.8783398577,2004,Bronze
Argentina,43416755,13431.8783398577,2004,Bronze
Argentina,43416755,13431.8783398577,2004,Bronze
Argentina,43416755,13431.8783398577,2004,Bronze
Argentina,43416755,13431.8783398577,2004,Bronze
Argentina,43416755,13431.8783398577,2004,Bronze
Argentina,43416755,13431.8783398577,2004,Bronze
Argentina,43416755,13431.8783398577,2004,Bronze
Argentina,43416755,13431.8783398577,2004,Bronze
Argentina,43416755,13431.8783398577,2004,Bronze
Argentina,43416755,13431.8783398577,2004,Bronze
Argentina,43416755,13431.8783398577,2004,Bronze
Argentina,43416755,13431.8783398577,2004,Bronze
Argentina,43416755,13431.8783398577,2004,Bronze
Argentina,43416755,13431.8783398577,2004,Bronze
Argentina,43416755,13431.8783398577,2004,Bronze
Argentina,43416755,13431.8783398577,2004,Bronze
Argentina,43416755,13431.8783398577,2004,Bronze
Argentina,43416755,13431.8783398577,2004,Bronze
Argentina,43416755,13431.8783398577,2004,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Gold
Argentina,43416755,13431.8783398577,2008,Gold
Argentina,43416755,13431.8783398577,2008,Gold
Argentina,43416755,13431.8783398577,2008,Gold
Argentina,43416755,13431.8783398577,2008,Gold
Argentina,43416755,13431.8783398577,2008,Gold
Argentina,43416755,13431.8783398577,2008,Gold
Argentina,43416755,13431.8783398577,2008,Gold
Argentina,43416755,13431.8783398577,2008,Gold
Argentina,43416755,13431.8783398577,2008,Gold
Argentina,43416755,13431.8783398577,2008,Gold
Argentina,43416755,13431.8783398577,2008,Gold
Argentina,43416755,13431.8783398577,2008,Gold
Argentina,43416755,13431.8783398577,2008,Gold
Argentina,43416755,13431.8783398577,2008,Gold
Argentina,43416755,13431.8783398577,2008,Gold
Argentina,43416755,13431.8783398577,2008,Gold
Argentina,43416755,13431.8783398577,2008,Gold
Argentina,43416755,13431.8783398577,2008,Gold
Argentina,43416755,13431.8783398577,2008,Gold
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2008,Bronze
Argentina,43416755,13431.8783398577,2012,Silver
Argentina,43416755,13431.8783398577,2012,Silver
Argentina,43416755,13431.8783398577,2012,Silver
Argentina,43416755,13431.8783398577,2012,Silver
Argentina,43416755,13431.8783398577,2012,Silver
Argentina,43416755,13431.8783398577,2012,Silver
Argentina,43416755,13431.8783398577,2012,Silver
Argentina,43416755,13431.8783398577,2012,Silver
Argentina,43416755,13431.8783398577,2012,Silver
Argentina,43416755,13431.8783398577,2012,Silver
Argentina,43416755,13431.8783398577,2012,Silver
Argentina,43416755,13431.8783398577,2012,Silver
Argentina,43416755,13431.8783398577,2012,Silver
Argentina,43416755,13431.8783398577,2012,Silver
Argentina,43416755,13431.8783398577,2012,Silver
Argentina,43416755,13431.8783398577,2012,Silver
Argentina,43416755,13431.8783398577,2012,Bronze
Argentina,43416755,13431.8783398577,2012,Bronze
Argentina,43416755,13431.8783398577,2012,Gold
Argentina,43416755,13431.8783398577,2012,Bronze
Armenia,3017712,3489.12768956995,1996,Silver
Armenia,3017712,3489.12768956995,1996,Gold
Armenia,3017712,3489.12768956995,2000,Bronze
Armenia,3017712,3489.12768956995,2008,Bronze
Armenia,3017712,3489.12768956995,2008,Bronze
Armenia,3017712,3489.12768956995,2008,Bronze
Armenia,3017712,3489.12768956995,2008,Bronze
Armenia,3017712,3489.12768956995,2008,Bronze
Armenia,3017712,3489.12768956995,2008,Bronze
Armenia,3017712,3489.12768956995,2012,Silver
Armenia,3017712,3489.12768956995,2012,Bronze
Australia,23781169,56310.9629933721,1896,Gold
Australia,23781169,56310.9629933721,1896,Gold
Australia,23781169,56310.9629933721,1900,Gold
Australia,23781169,56310.9629933721,1900,Gold
Australia,23781169,56310.9629933721,1900,Bronze
Australia,23781169,56310.9629933721,1900,Bronze
Australia,23781169,56310.9629933721,1900,Bronze
Australia,23781169,56310.9629933721,1920,Bronze
Australia,23781169,56310.9629933721,1920,Silver
Australia,23781169,56310.9629933721,1920,Silver
Australia,23781169,56310.9629933721,1920,Silver
Australia,23781169,56310.9629933721,1920,Silver
Australia,23781169,56310.9629933721,1920,Silver
Australia,23781169,56310.9629933721,1924,Gold
Australia,23781169,56310.9629933721,1924,Bronze
Australia,23781169,56310.9629933721,1924,Gold
Australia,23781169,56310.9629933721,1924,Bronze
Australia,23781169,56310.9629933721,1924,Silver
Australia,23781169,56310.9629933721,1924,Silver
Australia,23781169,56310.9629933721,1924,Silver
Australia,23781169,56310.9629933721,1924,Silver
Australia,23781169,56310.9629933721,1924,Silver
Australia,23781169,56310.9629933721,1924,Gold
Australia,23781169,56310.9629933721,1928,Silver
Australia,23781169,56310.9629933721,1928,Silver
Australia,23781169,56310.9629933721,1928,Bronze
Australia,23781169,56310.9629933721,1928,Gold
Australia,23781169,56310.9629933721,1932,Silver
Australia,23781169,56310.9629933721,1932,Gold
Australia,23781169,56310.9629933721,1932,Gold
Australia,23781169,56310.9629933721,1932,Gold
Australia,23781169,56310.9629933721,1932,Bronze
Australia,23781169,56310.9629933721,1936,Bronze
Australia,23781169,56310.9629933721,1948,Bronze
Australia,23781169,56310.9629933721,1948,Silver
Australia,23781169,56310.9629933721,1948,Silver
Australia,23781169,56310.9629933721,1948,Bronze
Australia,23781169,56310.9629933721,1948,Bronze
Australia,23781169,56310.9629933721,1948,Silver
Australia,23781169,56310.9629933721,1948,Silver
Australia,23781169,56310.9629933721,1948,Silver
Australia,23781169,56310.9629933721,1948,Silver
Australia,23781169,56310.9629933721,1948,Bronze
Australia,23781169,56310.9629933721,1948,Gold
Australia,23781169,56310.9629933721,1948,Silver
Australia,23781169,56310.9629933721,1948,Silver
Australia,23781169,56310.9629933721,1948,Gold
Australia,23781169,56310.9629933721,1948,Bronze
Australia,23781169,56310.9629933721,1948,Silver
Australia,23781169,56310.9629933721,1952,Gold
Australia,23781169,56310.9629933721,1952,Bronze
Australia,23781169,56310.9629933721,1952,Gold
Australia,23781169,56310.9629933721,1952,Gold
Australia,23781169,56310.9629933721,1952,Gold
Australia,23781169,56310.9629933721,1952,Gold
Australia,23781169,56310.9629933721,1952,Gold
Australia,23781169,56310.9629933721,1952,Gold
Australia,23781169,56310.9629933721,1952,Silver
Australia,23781169,56310.9629933721,1952,Bronze
