Country,Population,GDP per Capita,Year,Medal
Austria,8611088,43774.985173612,1992,Silver
Austria,8611088,43774.985173612,1992,Bronze
Austria,8611088,43774.985173612,1992,Gold
Austria,8611088,43774.985173612,1992,Bronze
Austria,8611088,43774.985173612,1992,Silver
Austria,8611088,43774.985173612,1992,Bronze
Austria,8611088,43774.985173612,1992,Gold
Austria,8611088,43774.985173612,1992,Bronze
Austria,8611088,43774.985173612,1992,Bronze
Austria,8611088,43774.985173612,1992,Bronze
Austria,8611088,43774.985173612,1992,Bronze
Austria,8611088,43774.985173612,1992,Bronze
Austria,8611088,43774.985173612,1992,Silver
Austria,8611088,43774.985173612,1992,Silver
Austria,8611088,43774.985173612,1992,Silver
Austria,8611088,43774.985173612,1992,Silver
Austria,8611088,43774.985173612,1992,Silver
Austria,8611088,43774.985173612,1992,Gold
Austria,8611088,43774.985173612,1992,Silver
Austria,8611088,43774.985173612,1994,Silver
Austria,8611088,43774.985173612,1994,Bronze
Austria,8611088,43774.985173612,1994,Gold
Austria,8611088,43774.985173612,1994,Silver
Austria,8611088,43774.985173612,1994,Bronze
Austria,8611088,43774.985173612,1994,Gold
Austria,8611088,43774.985173612,1994,Silver
Austria,8611088,43774.985173612,1994,Bronze
Austria,8611088,43774.985173612,1994,Bronze
Austria,8611088,43774.985173612,1994,Bronze
Austria,8611088,43774.985173612,1994,Bronze
Austria,8611088,43774.985173612,1994,Bronze
Austria,8611088,43774.985173612,1998,Bronze
Austria,8611088,43774.985173612,1998,Bronze
Austria,8611088,43774.985173612,1998,Gold
Austria,8611088,43774.985173612,1998,Bronze
Austria,8611088,43774.985173612,1998,Gold
Austria,8611088,43774.985173612,1998,Silver
Austria,8611088,43774.985173612,1998,Silver
Austria,8611088,43774.985173612,1998,Bronze
Austria,8611088,43774.985173612,1998,Gold
Austria,8611088,43774.985173612,1998,Silver
Austria,8611088,43774.985173612,1998,Bronze
Austria,8611088,43774.985173612,1998,Silver
Austria,8611088,43774.985173612,1998,Silver
Austria,8611088,43774.985173612,1998,Bronze
Austria,8611088,43774.985173612,1998,Bronze
Austria,8611088,43774.985173612,1998,Bronze
Austria,8611088,43774.985173612,1998,Bronze
Austria,8611088,43774.985173612,1998,Bronze
Austria,8611088,43774.985173612,1998,Bronze
Austria,8611088,43774.985173612,1998,Bronze
Austria,8611088,43774.985173612,2002,Bronze
Austria,8611088,43774.985173612,2002,Silver
Austria,8611088,43774.985173612,2002,Bronze
Austria,8611088,43774.985173612,2002,Bronze
Austria,8611088,43774.985173612,2002,Silver
Austria,8611088,43774.985173612,2002,Bronze
Austria,8611088,43774.985173612,2002,Gold
Austria,8611088,43774.985173612,2002,Bronze
Austria,8611088,43774.985173612,2002,Gold
Austria,8611088,43774.985173612,2002,Bronze
Austria,8611088,43774.985173612,2002,Bronze
Austria,8611088,43774.985173612,2002,Silver
Austria,8611088,43774.985173612,2002,Gold
Austria,8611088,43774.985173612,2002,Silver
Austria,8611088,43774.985173612,2002,Bronze
Austria,8611088,43774.985173612,2002,Bronze
Austria,8611088,43774.985173612,2002,Bronze
Austria,8611088,43774.985173612,2002,Bronze
Austria,8611088,43774.985173612,2002,Bronze
Austria,8611088,43774.985173612,2002,Bronze
Austria,8611088,43774.985173612,2006,Gold
Austria,8611088,43774.985173612,2006,Gold
Austria,8611088,43774.985173612,2006,Bronze
Austria,8611088,43774.985173612,2006,Silver
Austria,8611088,43774.985173612,2006,Silver
Austria,8611088,43774.985173612,2006,Gold
Austria,8611088,43774.985173612,2006,Bronze
Austria,8611088,43774.985173612,2006,Gold
Austria,8611088,43774.985173612,2006,Bronze
Austria,8611088,43774.985173612,2006,Gold
Austria,8611088,43774.985173612,2006,Silver
Austria,8611088,43774.985173612,2006,Bronze
Austria,8611088,43774.985173612,2006,Silver
Austria,8611088,43774.985173612,2006,Silver
Austria,8611088,43774.985173612,2006,Bronze
Austria,8611088,43774.985173612,2006,Gold
Austria,8611088,43774.985173612,2006,Bronze
Austria,8611088,43774.985173612,2006,Silver
Austria,8611088,43774.985173612,2006,Gold
Austria,8611088,43774.985173612,2006,Gold
Austria,8611088,43774.985173612,2006,Gold
Austria,8611088,43774.985173612,2006,Gold
Austria,8611088,43774.985173612,2006,Gold
