Country,Code,Population,GDP_per_Capita,Year,City,Sport,Discipline,Athlete,Gender,Event,Medal
Argentina,ARG,43416755,13431.8783398577,1928,Amsterdam,Football,Football,"GAINZARAIN, Enrique",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1928,Amsterdam,Football,Football,"GOMEZ, S. N.",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1928,Amsterdam,Football,Football,"HELMAN, A.",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1928,Amsterdam,Football,Football,"MEDICI, Angel Segundo",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1928,Amsterdam,Football,Football,"MONTI, Luis Felipe",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1928,Amsterdam,Football,Football,"OCHOA, P.",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1928,Amsterdam,Football,Football,"ORLANDINI, Rodolfo",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1928,Amsterdam,Football,Football,"ORSI, Raimundo B.",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1928,Amsterdam,Football,Football,"PATERNOSTER, Fernando",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1928,Amsterdam,Football,Football,"PERDUCCA, Feliciano Angel",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1928,Amsterdam,Football,Football,"PERINETTI, N.",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1928,Amsterdam,Football,Football,"TARASCONI, Domingo Alberto",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1928,Amsterdam,Football,Football,"WEIHMULLER, L. F.",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1928,Amsterdam,Football,Football,"ZUMELZU, A. B.",Men,Football,Silver
Argentina,ARG,43416755,13431.8783398577,1932,Los Angeles,Athletics,Athletics,"ZABALA, Juan Carlos",Men,Marathon,Gold
Argentina,ARG,43416755,13431.8783398577,1932,Los Angeles,Boxing,Boxing,"LOVELL, Alberto Santiago",Men,+ 79.38KG (Heavyweight),Gold
Argentina,ARG,43416755,13431.8783398577,1932,Los Angeles,Boxing,Boxing,"ROBLEDO, Carmelo Ambrosio",Men,54 - 57.15KG (Featherweight),Gold
Argentina,ARG,43416755,13431.8783398577,1932,Los Angeles,Boxing,Boxing,"AZAR, Amado",Men,66.68 - 72.57KG (Middleweight),Silver
Argentina,ARG,43416755,13431.8783398577,1936,Berlin,Aquatics,Swimming,"CAMPBELL, Jeanette Morven",Women,100M Freestyle,Silver
Argentina,ARG,43416755,13431.8783398577,1936,Berlin,Boxing,Boxing,"LOVELL, Jose Guillermo",Men,+ 79.38KG (Heavyweight),Silver
Argentina,ARG,43416755,13431.8783398577,1936,Berlin,Boxing,Boxing,"CASANOVAS, Oscar",Men,54 - 57.15KG (Featherweight),Gold
Argentina,ARG,43416755,13431.8783398577,1936,Berlin,Boxing,Boxing,"VILLAREAL, Raul Vicente",Men,66.68 - 72.57KG (Middleweight),Bronze
Argentina,ARG,43416755,13431.8783398577,1936,Berlin,Boxing,Boxing,"RISIGLIONE, Francisco",Men,72.57 - 79.38KG (Light-Heavyweight),Bronze
Argentina,ARG,43416755,13431.8783398577,1936,Berlin,Polo,Polo,"ANDRADA, Manuel",Men,Polo,Gold
Argentina,ARG,43416755,13431.8783398577,1936,Berlin,Polo,Polo,"CAVANAGH, Roberto",Men,Polo,Gold
Argentina,ARG,43416755,13431.8783398577,1936,Berlin,Polo,Polo,"DUGGAN, Luis J.",Men,Polo,Gold
Argentina,ARG,43416755,13431.8783398577,1936,Berlin,Polo,Polo,"GAZZOTTI, Andres",Men,Polo,Gold
Argentina,ARG,43416755,13431.8783398577,1936,Berlin,Rowing,Rowing,"CURATELLA, Julio Pedro",Men,Coxless Pair (2-),Bronze
Argentina,ARG,43416755,13431.8783398577,1936,Berlin,Rowing,Rowing,"PODESTA, Horacio",Men,Coxless Pair (2-),Bronze
Argentina,ARG,43416755,13431.8783398577,1948,London,Athletics,Athletics,"SIMONETTO DE PORTELA, Noemi",Women,Long Jump,Silver
Argentina,ARG,43416755,13431.8783398577,1948,London,Athletics,Athletics,"CABRERA, Delfo",Men,Marathon,Gold
Argentina,ARG,43416755,13431.8783398577,1948,London,Boxing,Boxing,"PEREZ, Pascual Nicolas",Men,- 51KG (Flyweight),Gold
Argentina,ARG,43416755,13431.8783398577,1948,London,Boxing,Boxing,"IGLESIAS, Rafael",Men,+ 80KG (Heavyweight),Gold
Argentina,ARG,43416755,13431.8783398577,1948,London,Boxing,Boxing,"CIA, Mauro",Men,73 - 80KG (Light-Heavyweight),Bronze
Argentina,ARG,43416755,13431.8783398577,1948,London,Sailing,Sailing,"HOMP, Emilio C.",Men,6M,Silver
Argentina,ARG,43416755,13431.8783398577,1948,London,Sailing,Sailing,"RIVADEMAR, Rodolfo",Men,6M,Silver
Argentina,ARG,43416755,13431.8783398577,1948,London,Sailing,Sailing,"RODRIGUEZ DE LA TORRE, Rufino",Men,6M,Silver
Argentina,ARG,43416755,13431.8783398577,1948,London,Sailing,Sailing,"SIEBURGER JR., Enrique Conrado",Men,6M,Silver
