Country,Code,Population,GDP_per_Capita,Year,City,Sport,Discipline,Athlete,Gender,Event,Medal
Austria,AUT,8611088,43774.985173612,1952,Oslo,Skiing,Alpine Skiing,"SCHNEIDER, Othmar",Men,Slalom,Gold
Austria,AUT,8611088,43774.985173612,1956,Cortina d'Ampezzo,Skating,Figure skating,"WENDL, Ingrid",Women,Individual,Bronze
Austria,AUT,8611088,43774.985173612,1956,Cortina d'Ampezzo,Skating,Figure skating,"OPPELT, Kurt",Men,Pairs,Gold
Austria,AUT,8611088,43774.985173612,1956,Cortina d'Ampezzo,Skating,Figure skating,"SCHWARZ, Elisabeth",Women,Pairs,Gold
Austria,AUT,8611088,43774.985173612,1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,"MOLTERER, Andreas",Men,Downhill,Bronze
Austria,AUT,8611088,43774.985173612,1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,"SAILER, Anton",Men,Downhill,Gold
Austria,AUT,8611088,43774.985173612,1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,"SCHUSTER, Walter",Men,Giant Slalom,Bronze
Austria,AUT,8611088,43774.985173612,1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,"SAILER, Anton",Men,Giant Slalom,Gold
Austria,AUT,8611088,43774.985173612,1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,"MOLTERER, Andreas",Men,Giant Slalom,Silver
Austria,AUT,8611088,43774.985173612,1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,"HOCHLEITNER, Dorothea",Women,Giant Slalom,Bronze
Austria,AUT,8611088,43774.985173612,1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,"FRANDL, Josefine",Women,Giant Slalom,Silver
Austria,AUT,8611088,43774.985173612,1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,"SAILER, Anton",Men,Slalom,Gold
Austria,AUT,8611088,43774.985173612,1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,"SCHÖPF, Regina",Women,Slalom,Silver
Austria,AUT,8611088,43774.985173612,1960,Squaw Valley,Skiing,Alpine Skiing,"HECHER, Traudl",Women,Downhill,Bronze
Austria,AUT,8611088,43774.985173612,1960,Squaw Valley,Skiing,Alpine Skiing,"HINTERSEER, Ernst",Men,Giant Slalom,Bronze
Austria,AUT,8611088,43774.985173612,1960,Squaw Valley,Skiing,Alpine Skiing,"STIEGLER, Josef",Men,Giant Slalom,Silver
Austria,AUT,8611088,43774.985173612,1960,Squaw Valley,Skiing,Alpine Skiing,"HINTERSEER, Ernst",Men,Slalom,Gold
Austria,AUT,8611088,43774.985173612,1960,Squaw Valley,Skiing,Alpine Skiing,"LEITNER, Matthias",Men,Slalom,Silver
Austria,AUT,8611088,43774.985173612,1960,Squaw Valley,Skiing,Ski Jumping,"LEODOLTER, Otto",Men,K90 Individual (70M),Bronze
Austria,AUT,8611088,43774.985173612,1964,Innsbruck,Bobsleigh,Bobsleigh,"DURNTHALER, Reinhold",Men,Four-Man,Silver
Austria,AUT,8611088,43774.985173612,1964,Innsbruck,Bobsleigh,Bobsleigh,"KOXEDER, Adolf",Men,Four-Man,Silver
Austria,AUT,8611088,43774.985173612,1964,Innsbruck,Bobsleigh,Bobsleigh,"NAIRZ, Josef",Men,Four-Man,Silver
Austria,AUT,8611088,43774.985173612,1964,Innsbruck,Bobsleigh,Bobsleigh,"THALER, Erwin",Men,Four-Man,Silver
Austria,AUT,8611088,43774.985173612,1964,Innsbruck,Luge,Luge,"FEISTMANTL, Josef",Men,Doubles,Gold
Austria,AUT,8611088,43774.985173612,1964,Innsbruck,Luge,Luge,"STENGL, Manfred",Men,Doubles,Gold
Austria,AUT,8611088,43774.985173612,1964,Innsbruck,Luge,Luge,"SENN, Reinhold",Men,Doubles,Silver
Austria,AUT,8611088,43774.985173612,1964,Innsbruck,Luge,Luge,"THALER, Helmut",Men,Doubles,Silver
Austria,AUT,8611088,43774.985173612,1964,Innsbruck,Luge,Luge,"THURNER, Helene",Women,Singles,Bronze
Austria,AUT,8611088,43774.985173612,1964,Innsbruck,Skating,Figure skating,"HEITZER, Regine",Women,Individual,Silver
Austria,AUT,8611088,43774.985173612,1964,Innsbruck,Skiing,Alpine Skiing,"ZIMMERMANN, Egon",Men,Downhill,Gold
Austria,AUT,8611088,43774.985173612,1964,Innsbruck,Skiing,Alpine Skiing,"HECHER, Traudl",Women,Downhill,Bronze
Austria,AUT,8611088,43774.985173612,1964,Innsbruck,Skiing,Alpine Skiing,"HAAS, Christl",Women,Downhill,Gold
