Country,Medal,count(*)
Tajikistan,Silver,1
Thailand,Bronze,11
Thailand,Gold,7
Thailand,Silver,5
Togo,Bronze,1
Tonga,Silver,1
Trinidad and Tobago,Bronze,4
Trinidad and Tobago,Silver,6
Tunisia,Bronze,2
Tunisia,Gold,3
Turkey,Bronze,13
Turkey,Gold,15
Turkey,Silver,13
Uganda,Bronze,1
Uganda,Gold,1
Ukraine,Bronze,90
Ukraine,Gold,41
Ukraine,Silver,42
United Arab Emirates,Gold,1
United Kingdom,Bronze,160
United Kingdom,Gold,150
United Kingdom,Silver,134
United States,Bronze,441
United States,Gold,844
United States,Silver,469
Uruguay,Silver,1
Uzbekistan,Bronze,10
Uzbekistan,Gold,5
Uzbekistan,Silver,5
Venezuela,Bronze,3
Venezuela,Gold,1
Vietnam,Silver,2
Virgin Islands*,Silver,1
Zambia,Silver,1
Zimbabwe,Bronze,1
Zimbabwe,Gold,2
Zimbabwe,Silver,4
